Protein A,Protein B,Publications
Q5VZM2,Q9HB90,6
Q96CS3,Q9UKV5,6
P51665,P62195,6
Q15831,Q9Y376,6
Q13033,Q9Y6E0,6
P62191,P62333,6
P51608,Q96ST3,6
Q6R327,Q9BVC4,6
P43034,Q9GZM8,6
P46734,Q16539,6
Q13033,Q9Y3A3,6
P25787,P28062,6
P06748,P19338,6
Q6P1K2,Q9H081,6
Q13617,Q96GG9,6
P35606,Q9Y678,6
Q15648,Q9NPJ6,6
P00519,Q13315,6
P16284,Q06124,6
P48556,P55036,6
P02545,P42167,6
P20618,P25787,6
A0JLT2,Q9H944,6
P78347,Q06187,6
O43353,P98170,6
P46940,P63000,6
P12004,Q15004,6
Q9NWS0,Q9Y265,6
P30154,Q14738,6
P60891,Q14558,6
P60510,Q5MIZ7,6
Q13042,Q9UJX6,6
Q13619,Q9UBW8,6
P53618,P53621,6
Q06587,Q8N488,6
P31749,P49840,6
Q13485,Q9Y297,6
P12956,Q07812,6
Q8NG31,Q9H081,6
Q99816,Q9H9H4,6
P51668,Q99728,6
P62081,Q00987,6
Q13620,Q92466,6
P51149,Q96NA2,6
P08238,Q16543,6
P45983,Q13233,6
A0JLT2,Q9UHV7,6
P02751,P40337,6
O60934,Q13315,6
P68431,Q13185,6
O96011,P40855,6
P33176,Q9H0B6,6
P60510,P78318,6
P28062,Q99436,6
Q12933,Q9UHD2,6
Q9H6S1,Q9UHD2,6
Q15029,Q6P2Q9,6
O00487,O75832,6
Q8N122,Q9HB90,6
Q86W42,Q8NI27,6
Q13330,Q14839,6
P20226,Q16594,6
P27348,Q9UQL6,6
O43390,P09651,6
O95405,P84022,6
P54132,Q9H9A7,6
P25490,Q09472,6
Q9H269,Q9P253,6
Q13501,Q9H0R8,6
O15111,Q12933,6
Q6PD62,Q9GZS3,6
O75607,P06748,6
O15371,P60228,6
O14656,Q8NFQ8,6
Q96IJ6,Q9Y5P6,6
P07900,P31749,6
P00519,Q99704,6
O00487,P25786,6
Q13347,Q14152,6
Q13127,Q9UKB1,6
P51668,Q9UBF6,6
O15457,O43196,6
P42858,Q92793,6
P30153,Q16537,6
P51665,Q9UNM6,6
P16333,Q13094,6
Q92843,Q92934,6
P54727,P55036,6
O14777,O95229,6
P42345,Q15382,6
P09651,P22626,6
Q14683,Q8N3U4,6
P49336,Q9NWA0,6
Q13490,Q13546,6
P57740,Q8NFH3,6
O14745,P15311,6
P25205,Q9BTE3,6
O43929,Q9UBD5,6
Q14686,Q15291,6
P30153,Q15172,6
O43242,P51665,6
Q8N7H5,Q92541,6
O76064,Q14676,6
Q9H9G7,Q9UPQ9,6
O15265,Q92830,6
O00311,Q9UBU7,6
Q14683,Q8WVM7,6
Q15276,Q9UJY4,6
P46100,Q06609,6
P46060,P49792,6
O95229,Q8NG31,6
O75306,O75489,6
Q01780,Q9NQT4,6
O00487,P17980,6
Q99496,Q9BSM1,6
P11142,Q9NZL4,6
O95251,Q6IE81,6
O15143,P61158,6
P25788,P25789,6
P40763,P42224,6
O43815,Q9Y3A3,6
Q13416,Q9UFC0,5
P62258,Q9UQL6,5
P62191,Q16186,5
Q15750,Q16539,5
P28066,P28070,5
P19793,Q15648,5
P42574,Q13490,5
P41208,Q01831,5
O95456,Q969U7,5
Q01664,Q9UKB1,5
Q14241,Q15369,5
P25789,P28066,5
P06493,P24522,5
P62877,Q96GG9,5
P61962,Q13627,5
O15143,O15144,5
Q13216,Q13619,5
P51587,Q9BXW9,5
O94888,Q13617,5
Q9NS91,Q9Y253,5
Q8TAQ2,Q96GM5,5
P17980,Q13200,5
Q13043,Q8WWW0,5
P24928,P62487,5
P54105,P62318,5
P46108,Q07889,5
P36941,Q12933,5
Q86T82,Q9UKB1,5
O95983,Q9BTC8,5
P43686,Q99460,5
P61158,P61160,5
O60645,Q96A65,5
O43913,O43929,5
P25789,P28062,5
P12004,P35250,5
P29590,Q13526,5
P05198,P20042,5
P62993,Q9ULH1,5
P62258,Q92934,5
P35222,Q09472,5
P60228,Q99613,5
Q92466,Q9BT78,5
P46379,Q9BV68,5
Q12962,Q16594,5
Q9HAW4,Q9UKB1,5
P08047,Q13485,5
P55884,Q7L2H7,5
Q13619,Q9H9Q2,5
O00401,O43516,5
Q13617,Q16665,5
Q13547,Q9H7L9,5
O96017,Q13315,5
Q8NFD5,Q96GM5,5
O15169,Q13233,5
O15371,Q7L2H7,5
Q8WU90,Q9Y295,5
O60566,P53350,5
P28070,P49720,5
Q9BTT4,Q9NX70,5
Q7Z434,Q9Y4K3,5
P68400,Q13547,5
P15336,Q92793,5
O00232,P51665,5
P62312,Q9Y4Y9,5
P28072,P28074,5
A0JLT2,Q71SY5,5
O60506,P67809,5
O15160,Q9Y2S0,5
O60216,Q29RF7,5
P09874,Q09472,5
Q13363,Q13547,5
Q13619,Q99627,5
Q9BRT9,Q9Y248,5
Q12824,Q96GM5,5
P53365,P63000,5
O14618,P00441,5
P27694,Q6PCD5,5
P12004,Q9UNA4,5
P15260,P42224,5
P50570,P62993,5
Q01780,Q15024,5
P17931,Q08380,5
O75934,Q9UMS4,5
P48552,Q13363,5
O15379,Q9BZK7,5
O75533,Q13435,5
Q13619,Q96SW2,5
P08047,P25490,5
P29590,Q13547,5
P00519,P07900,5
P15056,P63104,5
P52294,Q14974,5
P55072,Q92575,5
Q13547,Q16665,5
P09651,P61978,5
P57678,Q9UHI6,5
Q13098,Q9UBW8,5
P05412,P15408,5
Q99496,Q9HC52,5
Q96G25,Q9NX70,5
P61077,Q9Y4K3,5
A0JLT2,O95402,5
P02545,P20700,5
O15111,Q00653,5
P23497,P45973,5
P38159,P61978,5
Q14155,Q9Y2X7,5
P36873,P49750,5
A5D8V6,Q99816,5
P55072,Q04323,5
Q96A72,Q9Y5S9,5
O14744,P68431,5
O00541,Q14137,5
P12004,P35249,5
P15927,P78527,5
Q10567,Q96CW1,5
Q13042,Q9H1A4,5
Q08379,Q9H8Y8,5
P55735,P57740,5
Q9H9H4,Q9UK41,5
P30153,Q66LE6,5
Q8IXK0,Q9HC52,5
P55036,P62191,5
O14497,Q96GM5,5
P35998,Q15008,5
P12004,P49005,5
O95983,Q9UBB5,5
P08579,P09661,5
O00221,Q04864,5
P09038,P11362,5
O14920,Q99558,5
O75533,Q9Y3B4,5
O15379,P78347,5
O00257,Q99496,5
Q13619,Q9BT78,5
P13861,Q92667,5
P22681,Q14155,5
Q86X55,Q9Y6Q9,5
P06730,P29590,5
P43686,Q16186,5
P67775,Q66LE6,5
P30279,Q00535,5
P60520,Q9Y4P1,5
O00148,P82979,5
P25788,P28074,5
O95067,P06493,5
O00567,Q9Y2X3,5
Q99471,Q9UHV9,5
P21796,Q07817,5
P19793,Q9Y6Q9,5
P09661,Q15428,5
P57740,Q96EE3,5
P49721,Q99436,5
O75317,Q8TAF3,5
Q92830,Q96ES7,5
P27348,Q8WUI4,5
Q8WVC0,Q92541,5
P55036,Q9UNE7,5
P28074,P49721,5
P20226,Q92994,5
P60953,Q9UQB8,5
Q8WXD5,Q9H840,5
O15379,P56524,5
O60784,Q9H0E2,5
P26196,Q9NPI6,5
P20618,P28062,5
O95619,Q9NV56,5
O14579,Q9Y678,5
O14818,P28070,5
Q96F86,Q9NPI6,5
O15379,P13056,5
P22681,Q8TF42,5
P55036,Q99460,5
O00567,P22087,5
Q6UXN9,Q9P0U4,5
Q15648,Q96RN5,5
Q04917,Q7KZI7,5
Q15554,Q8IY92,5
Q6P4R8,Q8NBZ0,5
Q6P1M3,Q9BYG5,5
P27448,P31946,5
O14497,Q12824,5
Q13619,Q8TEB1,5
P62258,Q04917,5
P25208,Q13952,5
Q13951,Q93034,5
O95229,Q96IY1,5
Q9NPJ6,Q9NWA0,5
P60510,Q8TF05,5
A5YKK6,Q9UFF9,5
P28074,P49720,5
Q9BUE0,Q9NPJ6,5
Q16531,Q8TEB1,5
P05198,P19525,5
P55273,Q00534,5
Q14457,Q96F24,5
O75674,Q9H0E2,5
P09651,P52272,5
P14923,P25054,5
Q9BTT4,Q9UHV7,5
P28074,Q9Y244,5
Q13547,Q8N108,5
P54136,Q12904,5
P57740,Q8NFH4,5
Q13619,Q13620,5
Q14145,Q9NY33,5
O94906,O95400,5
P28070,P28074,5
O15145,O15511,5
Q9UBU8,Q9Y4A5,5
P50750,Q7L2J0,5
O75376,Q9UQL6,5
P51665,P62333,5
Q8IUC6,Q9UHD2,5
Q01094,Q92547,5
P62714,Q14738,5
P19838,Q09472,5
P01112,Q07889,5
P11362,P19174,5
P25786,P49720,5
Q15648,Q9NVC6,5
P19387,P24928,5
P11717,Q9UJY4,5
Q9GZM8,Q9NRI5,5
P35250,P35251,5
P10636,P37840,5
Q13569,Q92793,5
P31948,P34932,5
P22314,P51965,5
O95817,P34932,5
Q92844,Q9Y6K9,5
P55072,Q14CS0,5
Q8NFH3,Q9BW27,5
O00231,P51665,5
P04049,Q9UNE7,5
Q09028,Q14839,5
Q01780,Q9Y2L1,5
P19174,P62993,5
P42224,Q05655,5
Q13769,Q96J01,5
P51668,Q96FW1,5
P63000,Q14185,5
P62805,Q92830,5
O75446,Q09028,5
Q8NG31,Q96IY1,5
P05412,P84022,5
Q13868,Q96B26,5
P61964,Q9UMN6,5
O60566,Q8NG31,5
Q96EE3,Q9BW27,5
P18615,Q8WX92,5
P17980,Q15008,5
P25963,Q04864,5
P68431,Q8WTS6,5
O75832,P17980,5
P61081,Q13616,5
Q13620,Q9NZJ0,5
P67775,Q15173,5
Q9BRP8,Q9Y5S9,5
Q15428,Q15459,5
P52948,Q9UBU9,5
P09874,P12004,5
Q13547,Q15910,5
Q8IZL8,Q9Y4W2,5
P46108,P62993,5
O00291,P42858,5
O43809,Q16630,5
Q15596,Q92793,5
P55036,P62195,5
Q9NPJ6,Q9NX70,5
P84022,Q6ZNA4,5
P24928,Q9Y5B0,5
Q8NHM5,Q99496,5
P20618,P25786,5
Q8N0X7,Q96J02,5
P52655,P52657,5
O14497,Q8TAQ2,5
O75791,Q13480,5
Q14683,Q9NTI5,5
P19419,P27361,5
P07900,P11802,5
O00422,Q9UKV3,5
P11802,P55273,5
P55884,Q99613,5
P25786,Q99436,5
P12956,P68431,5
O43815,Q9P2B4,5
O43156,Q9Y4R8,5
Q15003,Q15021,5
P62877,Q16531,5
P62714,P78318,5
P11142,P31948,5
O00401,P60953,5
O43815,Q9Y6E0,5
P00519,P27986,5
Q12846,Q15836,5
Q16531,Q96SW2,5
P61077,Q8IUQ4,5
O15265,Q9UPT9,5
Q08211,Q9UBU9,5
O15294,P51610,5
Q09472,Q13547,5
Q9UJX2,Q9UJX6,5
P00519,P16333,5
P55036,Q9UNM6,5
P07900,Q15831,5
Q8N488,Q99496,5
Q6IPU0,Q71F23,5
Q86VP6,Q96GG9,5
P83916,Q13263,5
P27986,P46108,5
O14818,P20618,5
Q76L83,Q92560,5
P20248,P28749,5
Q06330,Q96T58,5
Q8NBZ0,Q9Y230,5
Q8NDV7,Q9UL18,5
O75943,Q99638,5
P49427,Q13616,5
O43683,O60566,5
Q13435,Q15427,5
P40692,P54277,5
P11233,Q15311,5
Q9UK45,Q9Y4Y9,5
Q13127,Q9Y297,5
O14744,P62805,5
P15056,P31946,5
Q8NFD5,Q8TAQ2,5
O95835,Q7L9L4,5
Q6I9Y2,Q8NI27,5
Q13616,Q9UBF6,5
P67775,Q9Y2T4,5
O14818,P28066,5
P23246,P26599,5
P46934,P51965,5
O15514,P62487,5
Q9NPF5,Q9NV56,5
P20226,Q16514,5
Q6P2E9,Q8IU60,5
P55210,Q13490,5
P35250,P40937,5
O00743,P78318,5
P26368,Q15637,5
P33992,Q9BTE3,5
P10636,P63104,5
P62714,P63151,5
P36897,Q9Y4K3,5
O00161,Q15836,5
O60341,Q96BD5,5
Q13490,Q9Y6K9,5
O14818,P55036,5
Q9NPF5,Q9Y230,5
P00338,P07195,5
Q13216,Q16531,5
Q9NVC6,Q9NX70,5
Q14247,Q9ULH1,5
P25054,P35221,5
P48556,P51665,5
P62993,Q14185,5
P50750,Q16543,5
P28070,Q99436,5
P02792,P02794,5
P30154,P62714,5
O75832,P51665,5
O14920,Q14145,5
P49792,Q9UBU9,5
Q14137,Q9GZL7,5
P31749,P67775,5
Q9H1A4,Q9UJX4,5
P43686,Q13200,5
Q14566,Q7L590,5
P16333,Q07889,5
Q01094,Q13309,5
Q12834,Q8NHZ8,5
P06493,Q15910,5
Q00987,Q09472,5
Q8TEQ6,Q9UHI6,5
Q15648,Q9BWU1,5
O95229,Q9H410,5
P19838,Q13547,5
O15111,Q16543,5
P08865,P63220,5
P60604,Q9Y679,5
Q8NDV7,Q9H9G7,5
P35998,Q99460,5
O14777,Q9H081,5
P61960,Q9GZZ9,5
O43264,P50748,5
P37108,P49458,5
Q12933,Q14790,5
P07237,Q96HE7,5
O00401,P62993,5
O43639,Q13153,5
Q13042,Q9UM13,5
P52655,P62380,5
Q96IY1,Q9H410,5
Q9UL18,Q9UPY3,5
O14656,Q5JTV8,5
Q13111,Q13112,5
O95163,Q96EB1,5
O75340,Q8WUM4,5
A0JLT2,Q9Y2X0,5
P18615,Q8IXH7,5
P40306,P49720,5
Q16539,Q9BUB5,5
Q9HCS7,Q9UNP9,5
P06730,Q9NRA8,5
P28062,P28072,5
Q16576,Q96ST3,5
O95983,Q13330,5
O00743,O75170,5
P50750,Q96MH2,5
P12004,Q09472,5
P30153,Q00005,5
P68431,Q8TEX9,5
P78395,Q13617,5
O15151,P61981,5
Q8TD19,Q9HC98,5
P63000,Q13177,5
Q96S44,Q9NPF4,5
P05412,P15407,5
P62191,Q15008,5
O00291,Q00610,5
Q05513,Q9BYG5,5
P61981,Q9Y2J2,5
P07900,P11142,5
Q9NX70,Q9P086,5
P09874,P16104,5
P63010,Q96CW1,5
O14979,P09651,5
Q13619,Q9NZJ0,5
P07900,P29474,5
Q07955,Q96SB4,5
Q14683,Q29RF7,5
P28065,Q99436,5
Q09028,Q16576,5
P67775,Q16537,5
P43686,Q15008,5
O43172,O43395,5
P46527,P61024,5
Q07955,Q9UBU9,5
P85037,Q92560,5
Q12888,Q6ZW49,5
P42695,Q6IBW4,5
P30307,P31946,5
P05412,P53779,5
P30153,P30154,5
P13051,P15927,5
P54725,Q05086,5
O60828,Q9Y2W2,5
O15379,Q9UQL6,5
P51665,P55036,5
Q15831,Q16543,5
Q13619,Q9BW61,5
O95295,Q96EV8,5
O75832,P35998,5
Q13769,Q6I9Y2,5
P11142,P34932,5
Q15014,Q9Y605,5
Q16531,Q7L5N1,5
P51617,Q9NYJ8,5
P23497,P29590,5
Q12834,Q9UM13,5
P62191,Q9UNM6,5
Q15276,Q9UJ41,5
P55036,Q05086,5
P35249,P40938,5
Q96A65,Q9UPT5,5
Q09472,Q15796,5
P62136,Q96QC0,5
O43924,P36404,5
O96019,Q969G3,5
O60907,Q9Y618,5
Q08881,Q13094,5
Q02790,Q92990,5
Q13547,Q9P0W2,5
P21580,Q8NFZ5,5
A0JLT2,Q9P086,5
P49336,Q9H944,5
Q8WVC0,Q9GZS3,5
Q6PD62,Q92541,5
P22681,P31946,5
O14686,Q9UBL3,5
A5YKK6,Q9UIV1,5
O15379,O60907,5
P04049,P62834,5
P35249,P35251,5
P17676,P51531,5
Q8NBT2,Q9HBM1,5
O60477,Q96EB6,5
P11831,Q969V6,5
P48444,Q9Y678,5
Q13618,Q92905,5
Q01780,Q06265,5
P61981,Q02241,5
P05412,Q8NHY2,5
P09651,P26599,5
Q01780,Q9NQT5,5
O95983,Q14839,5
P83436,Q96JB2,5
P50750,Q13451,5
O43765,P11441,5
Q9NS23,Q9UER7,5
O00257,Q06587,5
Q13616,Q969U6,5
P55036,Q16186,5
O96019,Q92922,5
Q9H0E9,Q9NV56,5
Q06265,Q9NQT5,5
P05230,P11362,5
Q9Y265,Q9Y4A5,5
P36873,Q5UIP0,5
P07900,P50750,5
Q9UL18,Q9UPQ9,5
P61077,Q96FW1,5
O60749,Q9UNH7,5
O60216,Q7Z5K2,5
A0AVT1,Q9H832,5
P55072,Q96JH7,5
Q9UK45,Q9Y333,5
P43246,Q9UQ84,5
Q01167,Q92560,5
O75533,Q15393,5
P10636,Q00535,5
P25789,P28070,5
Q6P2C8,Q9BTT4,5
P35251,P40938,5
P15927,Q6PCD5,5
Q9NWS0,Q9Y230,5
P42684,P46108,5
P08559,P11177,5
O14920,Q16543,5
P36873,Q8IWU2,5
P27348,Q92934,5
O43513,P49336,5
P12931,Q14289,5
Q9NQT5,Q9Y3B2,5
O75461,Q14186,5
Q9UBD5,Q9Y5N6,5
P51665,Q99460,5
P04049,P28482,5
Q8TF46,Q9NQT5,5
P51668,Q8IUQ4,5
P67775,Q14738,5
P51668,Q9NYG5,5
P51610,P61964,5
O75821,Q13347,5
P31947,Q92934,5
P49427,Q9UKB1,5
O00487,P43686,5
Q9H1A4,Q9UJX6,5
P05556,P21333,5
O43242,Q15008,5
Q92905,Q9Y4B6,5
P52948,Q14974,5
Q9H944,Q9NX70,5
O15169,P49840,5
O00161,P32856,5
P61964,Q9UPS6,5
P31946,Q9Y2J2,5
P30307,P53350,5
Q14686,Q9UBL3,5
Q14152,Q99613,5
O60832,Q9NY12,5
P62805,Q9UER7,5
P09651,P14866,5
O00308,Q8N5I2,5
P21675,P35269,5
P49757,Q00987,5
O15143,P61160,5
P37275,Q13363,5
P29353,Q05209,5
P51531,Q15532,5
P26358,Q9UBC3,5
O95630,Q9HD42,5
O75955,Q9BX66,5
Q13618,Q9H0C5,5
P23921,P31350,5
O43815,Q13033,5
P55036,Q9UMX0,5
O43542,P51587,5
P63104,Q04917,5
P25788,P28070,5
P45973,Q9H410,5
P55884,P60228,5
P63000,Q9UQB8,5
P24928,P49336,5
Q29RF7,Q7Z5K2,5
Q14152,Q9UBQ5,5
P25786,P28070,5
O75569,P19525,5
O43294,Q05397,5
O95433,P08238,5
P17980,Q99460,5
P33992,Q14566,5
P62877,Q86VP6,5
Q13618,Q9P2K6,5
O43815,Q14BN4,5
Q9UHD2,Q9Y6K9,5
P04049,P06400,5
Q13283,Q14694,5
O15265,Q9Y4A5,5
O00743,Q9UPN7,5
P27986,P46109,5
P15880,P23396,5
P51531,Q96ST3,5
P29350,P62993,5
P11802,P30279,5
Q9UDY8,Q9Y4K3,5
A0JLT2,O60244,5
P61586,Q13464,5
Q9H270,Q9P253,5
P25054,Q15691,5
Q13416,Q9Y5N6,5
O00487,Q13200,5
Q14566,Q9H211,5
P12931,P18031,5
Q93074,Q9NX70,5
O95630,Q7LBR1,5
P43686,P48556,5
O43318,P19438,5
P42575,Q9HB75,5
P07814,P41252,5
P62993,Q9UKW4,5
P61978,P62993,5
P31749,Q09472,5
Q8WV22,Q96MG7,5
P05423,Q9NVU0,4
Q14839,Q16576,4
P61088,Q8NHG8,4
Q9H8E8,Q9NS73,4
P21580,Q12933,4
P68400,Q96EB6,4
P57678,Q9UKV8,4
Q9HAU5,Q9Y5S9,4
O75400,P42858,4
Q15796,Q96RT1,4
Q15022,Q6ZN18,4
P19838,Q04864,4
Q13042,Q9UJX4,4
P84022,Q13526,4
Q99558,Q9Y4K3,4
Q96FX7,Q9UJA5,4
P16104,Q92878,4
O75143,Q9BSB4,4
Q9H444,Q9Y3E7,4
Q6P2C8,Q93074,4
Q9UJX4,Q9UJX6,4
O15357,P29353,4
O15514,P24928,4
A0JLT2,O43513,4
O43815,Q9BRV8,4
Q13363,Q13422,4
P26373,P61313,4
P78362,Q8NAV1,4
Q9UL15,Q9Y6D9,4
Q14686,Q6ZW49,4
P10398,Q04917,4
P62714,Q13033,4
O76064,O95714,4
Q12904,Q15046,4
Q13163,Q9Y2U5,4
Q13485,Q92905,4
P08238,Q16665,4
Q16629,Q9UBU9,4
Q00987,Q16665,4
P18074,P50613,4
P42858,Q99963,4
O00231,O75832,4
Q12834,Q16763,4
P06400,Q16576,4
P27348,Q6WCQ1,4
O95400,P14678,4
P31946,Q9Y2U5,4
O14920,Q04206,4
P08047,Q01094,4
P30307,P62258,4
P42025,Q14203,4
Q01780,Q9Y3B2,4
P40337,Q09472,4
Q04637,Q14103,4
P46379,Q7L5D6,4
Q92466,Q99627,4
P49736,Q9BTE3,4
Q9NV56,Q9Y265,4
P11142,P37840,4
P04049,Q92934,4
Q8NBT2,Q9H081,4
O15151,P31946,4
P28908,Q12933,4
Q13426,Q96T60,4
P04150,Q15596,4
P43351,Q06609,4
Q93074,Q96G25,4
P08047,Q92793,4
O95295,Q6QNY1,4
P61088,Q8IYW5,4
Q13620,Q9BT78,4
P0C1Z6,Q8NBZ0,4
P34932,Q9UNN5,4
P20248,Q9H211,4
P12004,Q7Z5Q5,4
P51665,Q16186,4
P22681,P57075,4
Q9UBE8,Q9UJU2,4
P21580,Q13546,4
Q99496,Q9UQR0,4
O75175,Q9NZN8,4
O43427,Q00535,4
P61201,Q92466,4
P54725,Q99460,4
P15927,P23025,4
O00231,P62191,4
Q13618,Q53GT1,4
Q9NV56,Q9Y230,4
P25786,P62195,4
Q9NRF9,Q9NRG0,4
P28070,Q15797,4
Q96B26,Q9NPD3,4
P15880,P61247,4
P46459,P54920,4
O15145,P61160,4
Q96JB2,Q9Y2V7,4
O15111,Q15653,4
O15234,Q9Y5S9,4
P24539,P36542,4
Q00653,Q969H0,4
Q15648,Q9H944,4
P62820,Q08379,4
P63000,Q14155,4
O75821,P60228,4
Q8NEB9,Q96F24,4
Q13501,Q8IZQ1,4
P07900,Q9UHD2,4
P36873,Q6PJW8,4
P62263,P62701,4
P62714,Q16537,4
Q66K74,Q9NS23,4
Q93009,Q9UER7,4
O43318,Q13546,4
O14579,P53618,4
Q13330,Q8WXI9,4
P17987,Q99832,4
O15160,O95602,4
P54727,Q96IV0,4
P43686,P62333,4
P25789,P28072,4
Q09028,Q15910,4
O60925,Q99471,4
P11940,Q58A45,4
P31150,P62820,4
P62280,P62701,4
Q86W42,Q96FV9,4
Q9NPF5,Q9NXR8,4
P27986,Q07666,4
O75182,Q9UBU8,4
P07900,P34932,4
Q10570,Q6UN15,4
O14980,P43487,4
P84022,Q96PU5,4
P21817,Q13061,4
P22314,P51668,4
P22681,P63104,4
P61326,Q9BRP8,4
P35998,Q16186,4
O15143,O15145,4
O95782,Q96CW1,4
O14929,Q16576,4
O75449,Q9BVA0,4
P15056,P27348,4
P06400,P50750,4
P46782,P62701,4
Q12834,Q9UJX4,4
Q14BN4,Q5VSL9,4
P07948,Q07666,4
P20618,Q9Y244,4
P51668,Q14258,4
Q12962,Q92830,4
O43303,Q8TAP6,4
P45973,Q9H081,4
A5YKK6,O75175,4
Q13547,Q96T88,4
P00519,P06400,4
P61981,Q04917,4
Q9BW61,Q9Y4B6,4
Q93074,Q9BUE0,4
P61758,Q99471,4
P61981,P62258,4
P22626,P67809,4
Q6UN15,Q9P2I0,4
Q9H6T3,Q9Y230,4
O43815,P30154,4
Q8IYH5,Q96ES7,4
Q13617,Q7L5N1,4
P11940,Q8NDV7,4
P22415,P78347,4
Q13617,Q8N668,4
P62993,Q13905,4
P68106,Q92736,4
Q00839,Q08211,4
P54098,Q9UHN1,4
O00459,P42336,4
Q9H9Q2,Q9UNS2,4
O14920,Q04759,4
Q96B97,Q9ULZ2,4
P62993,Q9Y4K4,4
P06401,Q15788,4
P37198,P61970,4
Q5T4S7,Q9P0J7,4
Q14155,Q14160,4
Q8N5I2,Q96J02,4
O95347,P42695,4
P49023,Q14289,4
P54278,Q9BX63,4
P36873,Q15435,4
P54132,Q06609,4
O94855,Q15437,4
Q7Z5K2,Q8WVM7,4
Q96S59,Q9NWU2,4
Q13616,Q9NXK8,4
P62314,P62316,4
P61201,Q13616,4
Q03111,Q8TEK3,4
Q29RF7,Q8N3U4,4
O43815,Q5VSL9,4
O43290,O43395,4
Q86U86,Q969G3,4
Q13404,Q9UNE7,4
P19438,Q13158,4
P06748,Q9UQ80,4
P12931,Q07912,4
O43765,P11142,4
O00231,P62195,4
Q8IUQ4,Q9H2X6,4
P05423,Q9Y535,4
P05412,P29590,4
P15927,P54132,4
Q14527,Q9NS91,4
O43521,P63167,4
P06400,P62136,4
P15408,P17275,4
O95229,Q6P1K2,4
P49336,Q9NPJ6,4
P19438,Q13490,4
P17987,P60510,4
P20226,Q15572,4
Q9BT78,Q9H9Q2,4
P06748,P68431,4
Q13547,Q9H0E3,4
P05771,Q9BYM8,4
P31946,Q14C86,4
O14818,P49721,4
A5YKK6,Q92600,4
P46109,Q13480,4
O15530,Q05513,4
A0JLT2,Q15528,4
Q04637,Q14240,4
O15169,Q5JTC6,4
Q9NYG5,Q9UJX6,4
P62195,Q9UNM6,4
P61981,Q96TC7,4
Q99759,Q9Y4K3,4
O43521,Q9Y297,4
Q15648,Q9NWA0,4
P46781,P61247,4
P30153,Q13136,4
Q93034,Q9Y575,4
Q13888,Q6ZYL4,4
Q09472,Q15797,4
Q8NFH3,Q96EE3,4
Q8N7H5,Q9Y5B9,4
O43513,O95402,4
P28072,P49720,4
P45973,P83916,4
P15923,Q92793,4
O75886,O95630,4
P63244,Q92615,4
P28070,P28072,4
Q9UJX2,Q9UM13,4
Q8IY18,Q8WV22,4
Q13618,Q9P2N7,4
Q13263,Q9UBF1,4
Q14746,Q96JB2,4
Q0VG06,Q9NW38,4
P62304,P62316,4
P25054,Q13363,4
P62263,Q16594,4
P51668,Q14669,4
Q04917,Q92934,4
Q13616,Q8NFZ0,4
Q8WUH2,Q9H270,4
Q13547,Q9Y232,4
O00217,O75489,4
P28340,P49005,4
P51608,Q13547,4
Q68CP9,Q969G3,4
P27448,Q04917,4
P12004,Q14191,4
P55072,Q8NHG7,4
P27361,P49366,4
P39748,Q14191,4
P25054,Q9Y297,4
Q6IAA8,Q9HB90,4
P42695,Q86XI2,4
O60506,P09651,4
P51531,Q92785,4
O43353,Q13490,4
O15145,P61158,4
P78527,Q96SD1,4
P20248,Q08999,4
Q8WXI9,Q9UBB5,4
O43502,O75771,4
Q6P1K2,Q9H410,4
P04049,P31749,4
Q9BWU1,Q9NWA0,4
O14818,P49720,4
O00257,P78364,4
Q12962,Q15545,4
Q9UBU8,Q9Y230,4
O95402,Q9NPJ6,4
P25787,P55036,4
O75381,P40855,4
P36873,Q6NYC8,4
O15371,O75821,4
O94776,Q9UBB5,4
P25788,P28066,4
O75943,Q13535,4
P48059,Q15404,4
P09651,Q14103,4
Q13084,Q9BYD2,4
Q15008,Q99460,4
O96019,Q8NBZ0,4
O00267,P50750,4
P54105,P62316,4
P14866,P26599,4
O43639,P48059,4
O95292,Q9P0L0,4
O60244,Q93074,4
O15400,Q9BV40,4
P31946,P40818,4
Q13547,Q9UBC3,4
O15047,Q6UXN9,4
Q9BWU1,Q9UHV7,4
P62333,Q15008,4
Q3KNV8,Q99496,4
P12004,P40938,4
P17987,P49368,4
Q09028,Q15022,4
P62701,P62753,4
Q13033,Q5VSL9,4
P35240,Q9Y4B6,4
P60228,Q7L2H7,4
Q13315,Q9Y6K9,4
P62241,P62701,4
Q96MX6,Q9H6T3,4
Q15542,Q16594,4
P25786,Q06323,4
O15371,P55884,4
Q01780,Q96B26,4
P05386,P05388,4
P63104,Q02241,4
O95684,Q5VT06,4
Q15554,Q9NUX5,4
O75367,P09874,4
P00558,P04406,4
P45973,Q09028,4
P35222,Q13547,4
O95793,P62753,4
P28070,P49721,4
Q15691,Q99661,4
Q9BS18,Q9UJX2,4
Q7L5N1,Q8TEB1,4
O14893,Q9UHI6,4
P35222,Q92793,4
Q06330,Q9Y618,4
P08621,P78362,4
O00567,Q9BVP2,4
P04150,Q04206,4
Q14683,Q7Z5K2,4
O00506,Q08379,4
P68431,Q86X55,4
Q8NEB9,Q92622,4
P19388,P24928,4
O94763,P36873,4
P09012,P26599,4
P61077,Q9BYM8,4
O95996,P35222,4
O94782,P12004,4
